;;;Total;C1: Security Apparatus;C2: Factionalized Elites;C3: Group Grievance;E1: Economy;E2: Economic Inequality;E3: Human Flight and Brain Drain;P1: State Legitimacy;P2: Public Services;P3: Human Rights;S1: Demographic Pressures;S2: Refugees and IDPs;X1: External Intervention
Poland;144th;144th;41.7;1.5;4.2;4.7;3.3;2.5;4.3;3.4;2.7;4.1;3.5;5.0;2.5
Latvia;145th;145th;41.4;1.7;4.3;7.4;3.6;3.9;5.5;1.5;3.0;1.7;2.9;3.5;2.4
Chile;146th;146th;41.1;3.9;2.2;4.1;4.1;4.7;3.0;4.1;3.6;3.3;5.6;1.7;0.8
Italy;146th;146th;41.1;4.6;4.9;3.4;5.1;3.2;2.2;1.7;3.6;0.8;4.3;4.4;2.9
United Kingdom;148th;148th;40.8;2.9;5.8;6.1;5.1;3.6;2.3;3.3;2.3;2.9;3.1;2.4;1.0
Qatar;149th;149th;39.8;0.7;5.0;2.5;0.8;5.6;0.8;6.4;2.6;5.2;2.7;1.5;6.0
Costa Rica;150th;150th;39.4;3.1;3.8;2.1;5.1;5.1;2.7;1.2;4.2;1.5;2.4;5.0;3.2
Mauritius;151st;151st;37.8;1.2;3.1;5.3;4.7;3.3;3.9;2.4;3.0;3.4;3.0;1.8;2.7
Czech Republic;152nd;152nd;37.7;1.7;5.3;3.7;4.5;1.9;3.0;3.4;2.6;1.7;2.9;4.0;3.0
Lithuania;153rd;153rd;37.4;1.9;3.0;2.4;3.4;4.0;5.3;1.2;3.4;1.8;3.3;3.2;4.5
Estonia;154th;154th;36.5;1.4;5.8;6.5;3.2;2.9;4.4;0.7;1.6;1.5;2.6;2.5;3.4
Slovak Republic;155th;155th;35.3;0.9;4.7;5.2;3.8;2.1;3.9;2.9;2.3;2.2;2.3;3.2;1.8
United Arab Emirates;156th;156th;34.7;2.0;3.6;2.3;1.3;2.8;1.8;6.4;1.8;6.5;3.3;1.4;1.5
Uruguay;157th;157th;33.7;3.4;2.7;2.0;3.8;3.6;3.1;0.4;3.3;3.9;3.1;2.1;2.3
Malta;158th;158th;31.1;1.5;2.0;1.8;3.1;2.6;3.6;2.6;1.5;3.3;3.4;3.5;2.2
Belgium;159th;159th;30.3;2.6;4.4;3.2;4.3;2.1;2.6;0.6;2.2;1.3;3.9;2.4;0.7
Japan;160th;160th;30.2;1.8;2.6;1.6;3.4;3.2;2.4;0.3;1.5;2.8;5.6;2.7;2.3
South Korea;161st;161st;29.8;1.2;3.9;2.5;1.6;3.1;3.1;2.1;2.1;3.2;2.2;1.3;3.5
France;162nd;162nd;28.3;2.8;1.9;6.5;3.5;2.8;1.8;1.1;1.3;1.0;2.8;2.5;0.3
Slovenia;163rd;163rd;26.1;0.2;2.0;2.7;2.9;2.9;3.3;1.3;2.1;1.1;3.7;2.7;1.2
Portugal;164th;164th;25.9;0.2;2.5;1.0;4.0;2.9;3.2;0.8;2.4;1.3;3.7;1.7;2.2
Singapore;165th;165th;25.4;0.2;4.0;2.6;1.1;3.9;1.0;3.7;0.7;4.6;2.6;0.8;0.2
Germany;166th;166th;24.0;2.6;2.3;3.1;1.6;2.8;1.6;0.5;1.3;0.7;2.0;5.0;0.5
Austria;167th;167th;23.1;1.1;3.2;3.0;1.4;2.6;1.6;0.6;1.4;0.4;3.3;4.3;0.2
